branch_id,branch_name,address,complaint_text,complaint_date,resolve_date,employee_experience,staff_count,daily_customers,service_windows,atm_count,training_hours,monthly_income,new_staff_count,competitor_count
101,市中心支行,北京市朝阳区建国路100号,ATM机又坏了，这周第三次了,2023-03-31,2023-04-03,4.06,17,370,5,5,30,10734,2,3
102,西区支行,上海市徐汇区淮海中路200号,转账手续费太高，没有提前告知,2023-02-10,2023-02-12,1.45,15,187,7,5,49,13322,2,1
103,东湖支行,武汉市武昌区东湖路50号,ATM机又坏了，这周第三次了,2023-05-02,2023-05-04,9.71,16,393,4,5,30,6184,4,2
104,高新支行,深圳市南山区科技园路88号,系统故障导致转账失败，资金被冻结,2023-06-26,2023-06-27,5.49,16,444,3,4,37,7747,4,3
105,北站支行,广州市天河区天河路300号,排队时间太长，等了1个多小时还没轮到,2023-02-18,2023-02-19,4.83,19,150,6,4,12,8556,3,3
106,南湖支行,杭州市西湖区南山路120号,柜员态度很差，办理业务时一直不耐烦,2023-04-10,2023-04-15,2.12,11,373,6,2,23,13433,2,1
107,大学城支行,南京市鼓楼区汉口路22号,ATM机又坏了，这周第三次了,2023-01-07,2023-01-12,0.65,6,439,6,4,16,15748,4,3
108,开发区支行,天津市滨海新区泰达大道66号,理财产品收益与承诺不符,2023-06-22,2023-06-27,2.15,5,149,6,3,15,15805,2,4
109,机场支行,成都市双流区机场路500号,理财产品收益与承诺不符,2023-05-07,2023-05-12,2.26,19,317,6,3,19,15173,4,2
110,港口支行,青岛市黄岛区港口路88号,柜员态度很差，办理业务时一直不耐烦,2023-06-13,2023-06-17,7.41,19,314,6,2,49,12892,4,1
101,市中心支行,北京市朝阳区建国路100号,排队时间太长，等了1个多小时还没轮到,2023-04-17,2023-04-19,3.08,9,379,4,2,38,7062,1,1
102,西区支行,上海市徐汇区淮海中路200号,排队时间太长，等了1个多小时还没轮到,2023-05-15,2023-05-17,0.65,13,443,3,5,17,14687,3,3
103,东湖支行,武汉市武昌区东湖路50号,理财产品收益与承诺不符,2023-06-25,2023-06-26,2.39,12,262,5,2,14,8561,3,2
104,高新支行,深圳市南山区科技园路88号,柜员态度很差，办理业务时一直不耐烦,2023-02-20,2023-02-22,1.6,11,300,6,3,42,12215,3,3
105,北站支行,广州市天河区天河路300号,信用卡年费收取后拒绝退还,2023-01-13,2023-01-17,6.85,9,198,6,5,31,13154,3,1
106,南湖支行,杭州市西湖区南山路120号,转账手续费太高，没有提前告知,2023-04-22,2023-04-26,4.14,19,230,3,2,35,5502,3,2
107,大学城支行,南京市鼓楼区汉口路22号,系统故障导致转账失败，资金被冻结,2023-05-27,2023-06-01,5.19,13,306,4,3,22,12858,3,4
108,开发区支行,天津市滨海新区泰达大道66号,ATM机又坏了，这周第三次了,2023-06-09,2023-06-12,6.55,8,195,6,3,46,12574,3,1
109,机场支行,成都市双流区机场路500号,理财产品收益与承诺不符,2023-02-04,2023-02-06,5.63,17,135,7,5,16,14914,3,2
110,港口支行,青岛市黄岛区港口路88号,转账手续费太高，没有提前告知,2023-06-09,2023-06-11,8.86,14,144,3,2,15,18083,4,4
101,市中心支行,北京市朝阳区建国路100号,转账手续费太高，没有提前告知,2023-03-19,2023-03-20,2.27,18,430,4,4,37,10592,3,2
102,西区支行,上海市徐汇区淮海中路200号,信用卡年费收取后拒绝退还,2023-02-22,2023-02-25,1.55,13,382,3,5,22,10864,3,3
103,东湖支行,武汉市武昌区东湖路50号,柜员态度很差，办理业务时一直不耐烦,2023-02-14,2023-02-19,2.06,15,236,7,2,33,6998,3,2
104,高新支行,深圳市南山区科技园路88号,ATM机又坏了，这周第三次了,2023-02-13,2023-02-17,2.58,12,332,6,2,21,8581,3,2
105,北站支行,广州市天河区天河路300号,信用卡年费收取后拒绝退还,2023-06-19,2023-06-20,7.27,9,212,3,4,11,9737,4,2
106,南湖支行,杭州市西湖区南山路120号,转账手续费太高，没有提前告知,2023-06-11,2023-06-15,0.81,5,484,5,3,11,10172,4,2
107,大学城支行,南京市鼓楼区汉口路22号,新员工业务不熟，办个业务花了40分钟,2023-02-21,2023-02-22,9.86,11,423,5,5,26,13958,2,4
108,开发区支行,天津市滨海新区泰达大道66号,信用卡年费收取后拒绝退还,2023-02-19,2023-02-22,4.97,6,297,5,4,25,13800,1,4
109,机场支行,成都市双流区机场路500号,ATM机又坏了，这周第三次了,2023-05-31,2023-06-01,5.33,17,358,6,5,45,11546,2,3
110,港口支行,青岛市黄岛区港口路88号,ATM机又坏了，这周第三次了,2023-05-10,2023-05-12,8.19,8,451,6,2,42,6959,4,3
101,市中心支行,北京市朝阳区建国路100号,ATM机又坏了，这周第三次了,2023-02-11,2023-02-14,9.4,5,366,6,2,34,19257,3,3
